	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	NAME	LABEL	FIPSCODE	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)	absolute_percent_error_graced (percent error)
187	city of marine city-51600	211223442.100848	11011.078036717205	Marine City	City of Marine City	51600	3910954.31387814	93862.90353307537	752.4406349685561
188	city of monroe-55020	1331373667.50712	69404.50928714615	Monroe	City of Monroe	55020	547806.7292809857	13147.361502743655	81.05690590167667
189	city of south lyon-75100	467625462.62952	24377.315366876875	South Lyon	City of South Lyon	75100	161292.53259625792	3871.02078231019	84.12039749229314
190	city of saline-71140	757097794.3042799	39467.50801708211	Saline	City of Saline	71140	176686.94659073465	4240.486718177632	89.25575256400205
191	city of trenton-80420	1273263322.5563998	66375.21700486512	Trenton	City of Trenton	80420	14755673.09684379	354136.15432425094	433.53671792635157
192	city of owosso-61940	933859820.6144	48682.11244862867	Owosso	City of Owosso	61940	154100.1693095061	3698.404063428147	92.40295074021108
193	city of gaylord-31720	256260156.72808	13358.84197023481	Gaylord	City of Gaylord	31720	142855.18517331925	3428.524444159662	74.33516728621501
194	city of sturgis-76960	970382303.98832	50586.029506911116	Sturgis	City of Sturgis	76960	169554.5709760515	4069.309703425236	91.9556649472375
195	city of woodhaven-88380	845542780.9187601	44078.14516929496	Woodhaven	City of Woodhaven	88380	946453.4480323027	22714.882752775262	48.466790819958206
196	city of rochester hills-69035	4876221434.5212	254197.42338159014	Rochester Hills	City of Rochester Hills	69035	5147778.329560732	123546.67990945757	51.39735160729987
197	city of frankenmuth-30200	374639632.7872	19529.964057196732	Frankenmuth	City of Frankenmuth	30200	51363.55703213954	1232.7253687713492	93.68803053010693
198	city of east tawas-24420	256517172.75562802	13372.240215750888	East Tawas	City of East Tawas	24420	96750.99491693174	2322.023878006362	82.63549083368022
