	NAME	LABEL	FIPSCODE	municipality	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)
730	Fraser	Fraser Township	30400	Fraser Township-30400	510034.5667920335	12240.829603008802
731	Sandstone	Sandstone Township	71500	Sandstone Township-71500	876997.2844078714	21047.934825788914
732	Sands	Sands Township	71460	Sands Township-71460	1322795.4797324706	31747.091513579293
733	Hill	Hill Township	38300	Hill Township-38300	196942.30148610394	4726.615235666495
734	Vienna	Vienna Township	82420	Vienna Township-82420	449829.34968831664	10795.904392519598
735	Hartford	Hartford Township	36980	Hartford Township-36980	505136.86118044314	12123.284668330636
736	Colfax	Colfax Township	17120	Colfax Township-17120	231948.9486335307	5566.774767204737
737	Castleton	Castleton Township	13960	Castleton Township-13960	326879.40895122045	7845.1058148292905
738	Gilford	Gilford Township	32160	Gilford Township-32160	366199.69047048176	8788.792571291562
739	Tittabawassee	Tittabawassee Township	79840	Tittabawassee Township-79840	1130696.6396856764	27136.719352456235
740	Whitney	Whitney Township	87080	Whitney Township-87080	288755.89209339354	6930.141410241446
741	Maple Forest	Maple Forest Township	50940	Maple Forest Township-50940	406647.6782157072	9759.544277176972
742	Garfield	Garfield Township	31580	Garfield Township-31580	1528703.4875546484	36688.883701311555
743	Schoolcraft	Schoolcraft Township	71880	Schoolcraft Township-71880	827935.0605655039	19870.441453572093
744	Fremont	Fremont Township	30720	Fremont Township-30720	260429.40014852452	6250.305603564589
745	Stannard	Stannard Township	76180	Stannard Township-76180	519203.728014406	12460.889472345743
746	Macomb	Macomb Township	50480	Macomb Township-50480	5009346.010288004	120224.3042469121
747	Onota	Onota Township	60820	Onota Township-60820	659273.7453283682	15822.569887880836
748	Hamilton	Hamilton Township	36180	Hamilton Township-36180	482732.0004694402	11585.568011266565
749	Blue Lake	Blue Lake Township	09340	Blue Lake Township-09340	335691.79118470347	8056.602988432884
750	Fayette	Fayette Township	27580	Fayette Township-27580	526310.892425607	12631.461418214567
751	Batavia	Batavia Township	05800	Batavia Township-05800	516081.78296558413	12385.962791174019
