	state	city	municipality	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)
140	Chiapas	TuxtlaGutiérrez	TuxtlaGutiérrez, Chiapas	9456216.955195189	226949.20692468452
141	Chiapas	Tuzantán	Tuzantán, Chiapas	662673.1609929733	15904.155863831358
142	Chiapas	Tzimol	Tzimol, Chiapas	229904.7437511946	5517.71385002867
143	Chiapas	UniónJuárez	UniónJuárez, Chiapas	180155.89685310525	4323.741524474526
144	Chiapas	VenustianoCarranza	VenustianoCarranza, Chiapas	734793.0379345122	17635.032910428294
145	Chiapas	VillaComaltitlán	VillaComaltitlán, Chiapas	382636.1534276183	9183.26768226284
146	Chiapas	VillaCorzo	VillaCorzo, Chiapas	2032708.5759986236	48785.00582396697
147	Chiapas	Villaflores	Villaflores, Chiapas	2224922.2779414533	53398.13467059488
148	Chiapas	Yajalón	Yajalón, Chiapas	401237.60432217264	9629.702503732144
149	Chiapas	Zinacantán	Zinacantán, Chiapas	998307.8141523384	23959.38753965612
150	Chihuahua	Ahumada	Ahumada, Chihuahua	6261112.163119697	150266.69191487273
151	Chihuahua	Aldama	Aldama, Chihuahua	1803885.589195782	43293.254140698766
152	Chihuahua	Allende	Allende, Chihuahua	2062121.4188262296	49490.91405182951
153	Chihuahua	AquilesSerdán	AquilesSerdán, Chihuahua	1885169.6361309567	45244.07126714296
154	Chihuahua	Ascensión	Ascensión, Chihuahua	4395681.374255511	105496.35298213226
155	Chihuahua	Bachíniva	Bachíniva, Chihuahua	649428.0313930123	15586.272753432295
156	Chihuahua	Balleza	Balleza, Chihuahua	1625549.463116501	39013.18711479603
157	Chihuahua	Batopilas	Batopilas, Chihuahua	276536.3325916103	6636.871982198648
158	Chihuahua	Bocoyna	Bocoyna, Chihuahua	1520784.5848178763	36498.830035629035
159	Chihuahua	Buenaventura	Buenaventura, Chihuahua	4209297.090715658	101023.13017717579
160	Chihuahua	Camargo	Camargo, Chihuahua	5675618.019119564	136214.83245886955
161	Chihuahua	Carichí	Carichí, Chihuahua	110264.27937726655	2646.3427050543974
162	Chihuahua	CasasGrandes	CasasGrandes, Chihuahua	1295271.6595343344	31086.519828824028
163	Chihuahua	Chihuahua	Chihuahua, Chihuahua	57882680.887949556	1389184.3413107893
164	Chihuahua	Chínipas	Chínipas, Chihuahua	237203.2305709149	5692.877533701957
165	Chihuahua	Coronado	Coronado, Chihuahua	562015.4816171019	13488.371558810446
166	Chihuahua	CoyamedelSotol	CoyamedelSotol, Chihuahua	1579920.7812110048	37918.09874906412
167	Chihuahua	Cuauhtémoc	Cuauhtémoc, Chihuahua	4411809.437429972	105883.42649831933
168	Chihuahua	Cusihuiriachi	Cusihuiriachi, Chihuahua	644845.1328016045	15476.283187238507
169	Chihuahua	Delicias	Delicias, Chihuahua	35788899.028603785	858933.5766864908
170	Chihuahua	Dr.BelisarioDomínguez	Dr.BelisarioDomínguez, Chihuahua	46821.849793429385	1123.7243950423053
171	Chihuahua	ElTule	ElTule, Chihuahua	64280.50254697207	1542.7320611273296
