	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	state	city	edgar_emission_2015(tons_CO2)	absolute_percent_error_edgar (percent error)
230	emilianozapata, hidalgo			Hidalgo	EmilianoZapata	9726.667508628618	
231	epazoyucan, hidalgo			Hidalgo	Epazoyucan	5200.7064603187955	
232	franciscoi.madero, hidalgo	97640000.0	5705.1052	Hidalgo	FranciscoI.Madero	8621.326440841474	51.115994159782964
233	huascadeocampo, hidalgo			Hidalgo	HuascadeOcampo	9670.936897576388	
234	huautla, hidalgo			Hidalgo	Huautla	10467.564361873186	
235	huazalingo, hidalgo			Hidalgo	Huazalingo	9060.6342016774	
236	huehuetla, hidalgo			Hidalgo	Huehuetla	9721.35874577054	
237	huejutladereyes, hidalgo	323700000.0	18913.791	Hidalgo	HuejutladeReyes	32322.752018847215	70.89515274249997
238	huichapan, hidalgo	130070000.0	7599.9901	Hidalgo	Huichapan	17928.107775914657	135.8964622324266
239	ixmiquilpan, hidalgo	265200000.0	15495.636	Hidalgo	Ixmiquilpan	16742.530499036562	8.046746187355987
240	jacaladeledezma, hidalgo			Hidalgo	JacaladeLedezma	9554.469565639907	
241	jaltocán, hidalgo			Hidalgo	Jaltocán	4225.109635707227	
242	juárezhidalgo, hidalgo			Hidalgo	JuárezHidalgo	2702.3102201680395	
243	lamisión, hidalgo			Hidalgo	LaMisión	8447.128311017375	
244	lolotla, hidalgo			Hidalgo	Lolotla	6980.330620364496	
245	metepec, hidalgo			Hidalgo	Metepec	6925.226173818366	
246	metztitlán, hidalgo			Hidalgo	Metztitlán	21430.42564111138	
247	mineraldelareforma, hidalgo	438300000.0	25609.869	Hidalgo	MineraldelaReforma	14714.727881961335	42.542744431994805
248	mineraldelchico, hidalgo			Hidalgo	MineraldelChico	7816.336222040245	
249	mineraldelmonte, hidalgo			Hidalgo	MineraldelMonte	2608.7714231630307	
250	mixquiahualadejuárez, hidalgo	131170000.0	7664.2631	Hidalgo	MixquiahualadeJuárez	12621.851573466154	64.68447662588925
251	molangodeescamilla, hidalgo			Hidalgo	MolangodeEscamilla	5341.39775648717	
252	nicolásflores, hidalgo			Hidalgo	NicolásFlores	2956.2781405057917	
253	nopaladevillagrán, hidalgo			Hidalgo	NopaladeVillagrán	12240.684834312971	
254	omitlándejuárez, hidalgo			Hidalgo	OmitlándeJuárez	3644.0891605613674	
255	pachucadesoto, hidalgo	1098900000.0	64208.727	Hidalgo	PachucadeSoto	47873.074398512406	25.44148336952326
256	pacula, hidalgo			Hidalgo	Pacula	2782.0914219554425	
257	pisaflores, hidalgo			Hidalgo	Pisaflores	15865.814561280404	
258	progresodeobregón, hidalgo			Hidalgo	ProgresodeObregón	3388.753810282381	
259	sanagustínmetzquititlán, hidalgo			Hidalgo	SanAgustínMetzquititlán	5430.908157449268	
260	sanagustíntlaxiaca, hidalgo			Hidalgo	SanAgustínTlaxiaca	23437.672811265813	
261	sanbartolotutotepec, hidalgo			Hidalgo	SanBartoloTutotepec	9261.04923149782	
262	sanfelipeorizatlán, hidalgo	98610000.0	5761.7823	Hidalgo	SanFelipeOrizatlán	12555.244030278931	117.90556075468058
263	sansalvador, hidalgo	88580000.0	5175.7294	Hidalgo	SanSalvador	12367.859430443219	138.95877227358946
264	santiagodeanaya, hidalgo			Hidalgo	SantiagodeAnaya	2038.8406390663547	
265	santiagotulantepecdelugoguer, hidalgo	94800000.0	5539.164	Hidalgo	SantiagoTulantepecdeLugoGuer	13725.487106387282	147.78986696164407
266	singuilucan, hidalgo			Hidalgo	Singuilucan	34404.77128694588	
267	tasquillo, hidalgo			Hidalgo	Tasquillo	7489.424259704986	
268	tecozautla, hidalgo	95670000.0	5589.9981	Hidalgo	Tecozautla	15702.9527995642	180.91159457754023
269	tenangodedoria, hidalgo			Hidalgo	TenangodeDoria	7451.766849467827	
270	tepeapulco, hidalgo	171230000.0	10004.9689	Hidalgo	Tepeapulco	5986.377614256818	40.165954796153166
271	tepehuacándeguerrero, hidalgo			Hidalgo	TepehuacándeGuerrero	20064.55184821637	
272	tepejidelríodeocampo, hidalgo	245570000.0	14348.6551	Hidalgo	TepejidelRíodeOcampo	38771.057635716825	170.20691044219765
273	tepetitlán, hidalgo			Hidalgo	Tepetitlán	2455.0273836181127	
274	tetepango, hidalgo			Hidalgo	Tetepango	2403.9062766361085	
275	tezontepecdealdama, hidalgo	145370000.0	8493.9691	Hidalgo	TezontepecdeAldama	18052.01490389371	112.52743789583258
