	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	NAME	LABEL	FIPSCODE	edgar_emission_2015(tons_CO2)	absolute_percent_error_edgar (percent error)
152	city of gibraltar-32020	182390418.3481	9508.012508486452	Gibraltar	City of Gibraltar	32020	9478.047107680859	0.31515945923343397
153	city of hamtramck-36280	950329805.4375999	49540.69275746208	Hamtramck	City of Hamtramck	36280	19727.08571105563	60.18003662638684
154	city of rockford-69080	267661199.18548	13953.178313539072	Rockford	City of Rockford	69080	1711.3886792525575	87.73477525481087
155	city of saginaw-70520	3363653988.1503997	175347.28240228034	Saginaw	City of Saginaw	70520	33156.47901522961	81.09096499188263
156	city of ypsilanti-89140			Ypsilanti	City of Ypsilanti	89140	10370.368843716324	
157	city of norway-59220	167231253.24751997	8717.765231793215	Norway	City of Norway	59220	26.442460099353514	99.69668304437795
158	city of three rivers-79760	667517596.8828399	34797.692325502445	Three Rivers	City of Three Rivers	79760	764.3444069787552	97.8034623680531
159	city of south haven-74980	338963843.45735997	17670.185159432174	South Haven	City of South Haven	74980	1931.248104867286	89.07058365578924
160	city of allegan-01260	388511172.96808	20253.087446826008	Allegan	City of Allegan	01260	743.485196570398	96.32902786539385
161	city of vassar-81840	101330213.330424	5282.344020915003	Vassar	City of Vassar	81840	56.48428181989417	98.93069664534818
162	city of greenville-35100	592920955.6463199	30908.969417842654	Greenville	City of Greenville	35100	389.8015542953703	98.73887236735123
163	city of clawson-16160	618882207.2665999	32262.32946480785	Clawson	City of Clawson	16160	14730.498869782514	54.341490170910554
164	city of swartz creek-77700	227620175.54346	11865.83975108057	Swartz Creek	City of Swartz Creek	77700	14423.454966466856	21.554439205648087
165	city of southfield-74900	7566117462.138	394421.7033012539	Southfield	City of Southfield	74900	145482.662933286	63.11494481271779
166	city of ionia-40860	611949878.8463199	31900.947184258657	Ionia	City of Ionia	40860	339.52737066086	98.93568247770274
167	city of lowell-49540	185099376.256792	9649.230484266567	Lowell	City of Lowell	49540	823.9977009954628	91.46048275726214
168	city of dowagiac-22880	269308197.6678	14039.036344422413	Dowagiac	City of Dowagiac	22880	261.7224620906811	98.13575194429451
169	city of bessemer-07960	129886392.822308	6770.977657826916	Bessemer	City of Bessemer	07960	18.340914739983305	99.72912457156342
170	city of jackson-41420	2208146718.5215197	115110.68843652682	Jackson	City of Jackson	41420	9112.568384428392	92.08364704598813
171	city of corunna-18300	164982904.24665198	8600.558798377968	Corunna	City of Corunna	18300	71.22249622863407	99.17188524724618
172	city of ithaca-41340	207652600.875344	10824.930083631683	Ithaca	City of Ithaca	41340	85.22653999446992	99.21268276713084
173	city of bloomfield hills-09180	222692483.74477598	11608.959177615172	Bloomfield Hills	City of Bloomfield Hills	09180	22484.964715525202	93.68631047373782
174	city of caspian-13860	63097880.204632	3289.292495067466	Caspian	City of Caspian	13860	19.875518578322314	99.39575095227539
175	city of riverview-68880	459062447.18952	23930.925371989677	Riverview	City of Riverview	68880	24946.358369839745	4.243183170169415
176	city of lake angelus-44440	67290064.5395288	3507.8310644456365	Lake Angelus	City of Lake Angelus	44440	1786.5971182509634	49.068324972676244
177	city of sault ste marie-71740	743442641.6955599	38755.664911589534	Sault Ste Marie	City of Sault Ste Marie	71740	49736.05679063485	28.332353229119107
178	city of keego harbor-42460	175179001.28722003	9132.08133710278	Keego Harbor	City of Keego Harbor	42460	2099.6506295429326	77.00797274973613
179	city of cheboygan-15000	227444566.6278	11856.685258307212	Cheboygan	City of Cheboygan	15000	1513.8524463141798	87.23207698160392
180	city of fremont-30700	237189332.681712	12364.679912697646	Fremont	City of Fremont	30700	128.09122622633478	98.96405546176092
181	city of st clair-70680	546923914.3985244	28511.143657595076	St Clair	City of St Clair	70680	3538.9473513388075	87.58749423088797
182	city of menominee-53020	660289868.35936	34420.910837573436	Menominee	City of Menominee	53020	261.6994729697698	99.23970787930429
183	city of whitehall-86780	321944809.073016	16782.982896976322	Whitehall	City of Whitehall	86780	205.15122992383783	98.77762355367233
184	city of stephenson-76380	43335708.940692	2259.0905070782737	Stephenson	City of Stephenson	76380	14.37283046081976	99.3637780152771
185	city of madison heights-50560	3027914557.24892	157845.1858693862	Madison Heights	City of Madison Heights	50560	50668.25706691491	67.90003015432988
186	city of coopersville-18020	291562505.412436	15199.153407150288	Coopersville	City of Coopersville	18020	278.12679973329966	98.17011650397279
187	city of marine city-51600	211223442.100848	11011.078036717205	Marine City	City of Marine City	51600	731.8442912126302	93.35356366767864
188	city of monroe-55020	1331373667.50712	69404.50928714615	Monroe	City of Monroe	55020	10267.795646711656	85.20586666173105
189	city of south lyon-75100	467625462.62952	24377.315366876875	South Lyon	City of South Lyon	75100	5094.189195573971	79.10274729228061
190	city of saline-71140	757097794.3042799	39467.50801708211	Saline	City of Saline	71140	26906.12665908856	31.82714589569932
191	city of trenton-80420	1273263322.5563998	66375.21700486512	Trenton	City of Trenton	80420	24691.32098706437	62.80039131886445
192	city of owosso-61940	933859820.6144	48682.11244862867	Owosso	City of Owosso	61940	1981.422089386288	95.92987651988774
193	city of gaylord-31720	256260156.72808	13358.84197023481	Gaylord	City of Gaylord	31720	1984.893515819902	85.14172470755702
194	city of sturgis-76960	970382303.98832	50586.029506911116	Sturgis	City of Sturgis	76960	390.962967577441	99.22713252771888
195	city of woodhaven-88380	845542780.9187601	44078.14516929496	Woodhaven	City of Woodhaven	88380	19535.231998539195	55.68045814199204
196	city of rochester hills-69035	4876221434.5212	254197.42338159014	Rochester Hills	City of Rochester Hills	69035	78546.90230014893	69.10003993933576
197	city of frankenmuth-30200	374639632.7872	19529.964057196732	Frankenmuth	City of Frankenmuth	30200	432.92099530021255	97.78329855583793
198	city of east tawas-24420	256517172.75562802	13372.240215750888	East Tawas	City of East Tawas	24420	59.22012855066898	99.55714130470888
199	city of detroit-22000	36205444513.504	1887389.8224889634	Detroit	City of Detroit	22000	1354200.4458845407	28.250092813433113
200	city of manistee-50720	392133192.96111995	20441.90334906318	Manistee	City of Manistee	50720	382.5826792553854	98.12843905617567
201	city of jonesville-41920	215660805.603748	11242.397796123383	Jonesville	City of Jonesville	41920	147.09729713937568	98.69158430606238
202	city of olivet-60580	60243541.724632	3140.495830105066	Olivet	City of Olivet	60580	84.77561029362704	97.30056606090794
203	city of lake city-44480	49704816.43988	2591.112081010944	Lake City	City of Lake City	44480	24.07745584480676	99.07076748932401
204	city of clare-15920	202144000.024904	10537.766721298245	Clare	City of Clare	15920	868.834865577392	91.75503796434059
205	city of escanaba-26360	1046323660.2636399	54544.85240954355	Escanaba	City of Escanaba	26360	10870.021504586739	80.07140724669952
206	city of grosse pointe-35480	230054174.815744	11992.724133144735	Grosse Pointe	City of Grosse Pointe	35480	2285.677394574857	80.9411325633861
207	city of flint-29000	5636994521.76468	293856.52441959275	Flint	City of Flint	29000	78941.98843100246	73.13587350598262
208	city of lathrup village-46320	288628645.4450039	15046.211287048054	Lathrup Village	City of Lathrup Village	46320	9555.303321803513	36.493625275428485
209	city of lapeer-46040	593176849.484	30922.309163600916	Lapeer	City of Lapeer	46040	1201.835044277078	96.11337226492847
210	city of kalamazoo-42160	5170611566.84	269543.9809793692	Kalamazoo	City of Kalamazoo	42160	34833.97764894776	87.07669986828088
211	city of dearborn-21000	6543579204.8688	341116.78394981055	Dearborn	City of Dearborn	21000	244447.85830164907	28.338953166955466
212	city of pleasant ridge-64900	108687519.919004	5665.8804133776775	Pleasant Ridge	City of Pleasant Ridge	64900	3918.9828814579682	30.831881445911208
213	city of rochester-69020	703281826.8659999	36662.08163452458	Rochester	City of Rochester	69020	6360.40860917776	82.6512616698006
214	city of milan-53920	274377140.0336	14303.280309951566	Milan	City of Milan	53920	2302.3396088652835	83.90341544755002
215	city of laingsburg-44200	46038142.264344	2399.9683562402524	Laingsburg	City of Laingsburg	44200	201.21132079663238	91.61608442571941
216	city of montague-55100	143308996.59738	7470.69799262142	Montague	City of Montague	55100	999.3874631247237	86.6225690810713
217	city of hancock-36300	240504280.069536	12537.488120024911	Hancock	City of Hancock	36300	1745.2157207046125	86.08002094201669
218	city of bangor-05140	86265250.03361599	4497.007484252402	Bangor	City of Bangor	05140	106.74553046707977	97.62629858098123
219	city of ironwood-41060	392700798.3646	20471.492618746597	Ironwood	City of Ironwood	41060	702.6539405476428	96.56764675818414
220	city of fennville-27740	50003044.97976401	2606.6587347950976	Fennville	City of Fennville	27740	159.95266941779704	93.8636896620696
221	city of st louis-71000	233731561.72955942	12184.426312961932	St Louis	City of St Louis	71000	619.4880310584712	94.91573903319969
222	city of north muskegon-58640	167008161.71267998	8706.135470082007	North Muskegon	City of North Muskegon	58640	3860.222144980603	55.66089962365079
