	state	city	municipality	edgar_emission_2015(tons_CO2)
265	DistritoFederal	ÁlvaroObregón	ÁlvaroObregón, DistritoFederal	210615.67727174997
266	DistritoFederal	Azcapotzalco	Azcapotzalco, DistritoFederal	54662.81859977206
267	DistritoFederal	BenitoJuárez	BenitoJuárez, DistritoFederal	65312.33010488097
268	DistritoFederal	Coyoacán	Coyoacán, DistritoFederal	141268.00153379713
269	DistritoFederal	CuajimalpadeMorelos	CuajimalpadeMorelos, DistritoFederal	116954.90127902116
270	DistritoFederal	Cuauhtémoc	Cuauhtémoc, DistritoFederal	72535.0218934081
271	DistritoFederal	GustavoA.Madero	GustavoA.Madero, DistritoFederal	155517.26255977136
272	DistritoFederal	Iztacalco	Iztacalco, DistritoFederal	47412.00495929709
273	DistritoFederal	Iztapalapa	Iztapalapa, DistritoFederal	227046.42527518942
274	DistritoFederal	LaMagdalenaContreras	LaMagdalenaContreras, DistritoFederal	92094.07805113569
275	DistritoFederal	MiguelHidalgo	MiguelHidalgo, DistritoFederal	111984.40887956908
276	DistritoFederal	MilpaAlta	MilpaAlta, DistritoFederal	124676.00003598366
277	DistritoFederal	Tláhuac	Tláhuac, DistritoFederal	130218.26267956465
278	DistritoFederal	Tlalpan	Tlalpan, DistritoFederal	332798.19124675286
279	DistritoFederal	VenustianoCarranza	VenustianoCarranza, DistritoFederal	68289.52822004823
280	DistritoFederal	Xochimilco	Xochimilco, DistritoFederal	186138.0212007473
281	Durango	Canatlán	Canatlán, Durango	13893.468640475538
282	Durango	Canelas	Canelas, Durango	2188.5615051021537
283	Durango	ConetodeComonfort	ConetodeComonfort, Durango	1560.748003690617
284	Durango	Cuencamé	Cuencamé, Durango	16794.074877158775
285	Durango	Durango	Durango, Durango	143479.63212830623
286	Durango	ElOro	ElOro, Durango	5318.710140012556
287	Durango	GeneralSimónBolívar	GeneralSimónBolívar, Durango	5788.6908958816875
288	Durango	GómezPalacio	GómezPalacio, Durango	47201.571941590046
289	Durango	GuadalupeVictoria	GuadalupeVictoria, Durango	11312.688612448843
290	Durango	Guanaceví	Guanaceví, Durango	5007.816968907688
291	Durango	Hidalgo	Hidalgo, Durango	2137.8427687596723
292	Durango	Indé	Indé, Durango	1999.514115883489
293	Durango	Lerdo	Lerdo, Durango	154822.20867692534
294	Durango	Mapimí	Mapimí, Durango	9983.12397491378
295	Durango	Mezquital	Mezquital, Durango	17958.67375806062
296	Durango	Nazas	Nazas, Durango	7957.449729514393
297	Durango	NombredeDios	NombredeDios, Durango	14975.567407926528
298	Durango	NuevoIdeal	NuevoIdeal, Durango	12353.988472291881
299	Durango	Ocampo	Ocampo, Durango	5964.109943322801
300	Durango	Otáez	Otáez, Durango	2344.4681631374306
301	Durango	PánucodeCoronado	PánucodeCoronado, Durango	6131.514891438113
302	Durango	PeñónBlanco	PeñónBlanco, Durango	5323.202730426899
303	Durango	Poanas	Poanas, Durango	6938.892613073957
304	Durango	PuebloNuevo	PuebloNuevo, Durango	19911.86867605306
305	Durango	Rodeo	Rodeo, Durango	4729.374394407769
306	Durango	SanBernardo	SanBernardo, Durango	1905.5351803601473
307	Durango	SanDimas	SanDimas, Durango	8998.31158510662
308	Durango	SanJuandeGuadalupe	SanJuandeGuadalupe, Durango	3486.309562816279
309	Durango	SanJuandelRío	SanJuandelRío, Durango	6313.977992237868
310	Durango	SanLuisdelCordero	SanLuisdelCordero, Durango	1207.2641826024133
311	Durango	SanPedrodelGallo	SanPedrodelGallo, Durango	857.0874437794977
312	Durango	SantaClara	SantaClara, Durango	3266.9093499173027
313	Durango	SantiagoPapasquiaro	SantiagoPapasquiaro, Durango	17217.140207406912
314	Durango	Súchil	Súchil, Durango	4510.401574610822
315	Durango	Tamazula	Tamazula, Durango	11395.967993401595
316	Durango	Tepehuanes	Tepehuanes, Durango	5517.765007982981
