	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	edgar_emission_2015(tons_CO2)	absolute_percent_error_edgar (percent error)	region	state	city	NAME	LABEL	FIPSCODE
47	tuxtlagutiérrez, chiapas	1993900000.0	116503.577	100857.14878932064	13.42999812845177	mexico	Chiapas	TuxtlaGutiérrez			
48	uniónjuárez, chiapas			621.6336270513013		mexico	Chiapas	UniónJuárez			
49	zinacantán, chiapas	75750000.0	4426.0725	34206.294677658225	672.8362939752618	mexico	Chiapas	Zinacantán			
50	ahumada, chihuahua			2613.9378683627697		mexico	Chihuahua	Ahumada			
51	aldama, chihuahua			4948.071163377364		mexico	Chihuahua	Aldama			
52	aquilesserdán, chihuahua			2466.4947485708008		mexico	Chihuahua	AquilesSerdán			
53	ascensión, chihuahua			6643.448291962123		mexico	Chihuahua	Ascensión			
54	bachíniva, chihuahua			2589.067890411468		mexico	Chihuahua	Bachíniva			
55	buenaventura, chihuahua			7412.032059559237		mexico	Chihuahua	Buenaventura			
56	camargo, chihuahua	168720000.0	9858.3096	12051.005423682647	22.24210754836353	mexico	Chihuahua	Camargo			
57	casasgrandes, chihuahua			13058.877142480304		mexico	Chihuahua	CasasGrandes			
58	chihuahua, chihuahua	3104000000.0	181366.72	176839.67015338267	2.4960752703788933	mexico	Chihuahua	Chihuahua			
59	coyamedelsotol, chihuahua			1007.884932602062		mexico	Chihuahua	CoyamedelSotol			
60	cuauhtémoc, chihuahua	558000000.0	32603.94	36981.35211870668	13.426021881731709	mexico	Chihuahua	Cuauhtémoc			
61	cusihuiriachi, chihuahua			14122.520235612852		mexico	Chihuahua	Cusihuiriachi			
62	delicias, chihuahua	507400000.0	29647.382	37304.24483804245	25.82643836154721	mexico	Chihuahua	Delicias			
63	dr.belisariodomínguez, chihuahua			1749.5465281463548		mexico	Chihuahua	Dr.BelisarioDomínguez			
64	galeana, chihuahua			1980.075268262105		mexico	Chihuahua	Galeana			
65	gómezfarías, chihuahua			2183.02736568974		mexico	Chihuahua	GómezFarías			
66	granmorelos, chihuahua			1336.8564556855824		mexico	Chihuahua	GranMorelos			
67	guadalupe, chihuahua			15579.939272391912		mexico	Chihuahua	Guadalupe			
68	guerrero, chihuahua	126220000.0	7375.0346	17301.39744789417	134.59411902818968	mexico	Chihuahua	Guerrero			
69	hidalgodelparral, chihuahua	385200000.0	22507.236	11413.870638433771	49.28799503220311	mexico	Chihuahua	HidalgodelParral			
70	ignaciozaragoza, chihuahua			6277.835143548711		mexico	Chihuahua	IgnacioZaragoza			
71	janos, chihuahua			9615.601300663917		mexico	Chihuahua	Janos			
72	juárez, chihuahua			1076040.5632383144		mexico	Chihuahua	Juárez			
73	julimes, chihuahua			470.2862397827777		mexico	Chihuahua	Julimes			
74	lacruz, chihuahua			1656.028843813888		mexico	Chihuahua	LaCruz			
75	madera, chihuahua			10459.801363369494		mexico	Chihuahua	Madera			
76	manuelbenavides, chihuahua			936.787528952618		mexico	Chihuahua	ManuelBenavides			
77	matachí, chihuahua			2011.209813273245		mexico	Chihuahua	Matachí			
