	NAME	LABEL	FIPSCODE	municipality	edgar_emission_2015(tons_CO2)
859	Bridgeport	Bridgeport Township	10460	Bridgeport Township-10460	5774.797073342289
860	Dewitt	Dewitt Township	22140	Dewitt Township-22140	9680.799197255343
861	Oliver	Oliver Township	60520	Oliver Township-60520	3439.5695817069764
862	Edwards	Edwards Township	25020	Edwards Township-25020	5131.126823595836
863	Liberty	Liberty Township	47360	Liberty Township-47360	14759.077316070601
864	Pulaski	Pulaski Township	66440	Pulaski Township-66440	2904.938816212168
865	Grand Island	Grand Island Township	33380	Grand Island Township-33380	208.6961397985389
866	Center	Center Township	14300	Center Township-14300	555.8637102768939
867	West Branch	West Branch Township	85540	West Branch Township-85540	2211.9476994573656
868	Raisinville	Raisinville Township	66900	Raisinville Township-66900	29174.211549258704
869	Weesaw	Weesaw Township	85120	Weesaw Township-85120	3714.8790913579746
870	Hebron	Hebron Township	37480	Hebron Township-37480	292.70393248430565
871	Excelsior	Excelsior Township	26860	Excelsior Township-26860	697.1687821698413
872	Drummond	Drummond Township	23080	Drummond Township-23080	655.2796264478246
873	Metz	Metz Township	53440	Metz Township-53440	424.04480789502054
874	Columbus	Columbus Township	17520	Columbus Township-17520	6586.90672410283
875	Martiny	Martiny Township	52060	Martiny Township-52060	1179.2852531128026
876	Prairieville	Prairieville Township	66260	Prairieville Township-66260	2053.7911078456655
877	St Clair	St Clair Township	70700	St Clair Township-70700	50183.600560853985
878	Wheatfield	Wheatfield Township	86520	Wheatfield Township-86520	5588.652347374522
879	Markey	Markey Township	51780	Markey Township-51780	1553.9016851217605
880	Bronson	Bronson Township	10880	Bronson Township-10880	2082.3218116567114
881	West Branch	West Branch Township	85520	West Branch Township-85520	103.70008426672503
882	Antrim	Antrim Township	03120	Antrim Township-03120	3327.7312301998745
883	Selma	Selma Township	72380	Selma Township-72380	1133.1769253318216
884	Chippewa	Chippewa Township	15560	Chippewa Township-15560	151.15049622863694
885	Custer	Custer Township	19440	Custer Township-19440	1261.696986038473
886	Michigamme	Michigamme Township	53540	Michigamme Township-53540	82.52904770615051
887	Summerfield	Summerfield Township	77140	Summerfield Township-77140	10691.26725425586
888	Baldwin	Baldwin Township	04920	Baldwin Township-04920	937.797556812193
889	Clayton	Clayton Township	16260	Clayton Township-16260	66811.78330092761
890	Gilmore	Gilmore Township	32200	Gilmore Township-32200	2491.5908260797833
891	Moorland	Moorland Township	55440	Moorland Township-55440	2318.384926542187
892	Bruce	Bruce Township	11300	Bruce Township-11300	6470.203464160893
893	Pine	Pine Township	64200	Pine Township-64200	1815.6964506664317
894	Hillsdale	Hillsdale Township	38480	Hillsdale Township-38480	5811.104507780888
895	Nelson	Nelson Township	56920	Nelson Township-56920	3749.582959421598
896	Cascade	Cascade Township	13660	Cascade Township-13660	16020.513701733953
897	Fort Gratiot	Fort Gratiot Township	29760	Fort Gratiot Township-29760	10096.409966211426
898	Washington	Washington Township	84140	Washington Township-84140	1084.4015314767362
899	Nottawa	Nottawa Township	59360	Nottawa Township-59360	1406.380734541657
900	Lake	Lake Township	44400	Lake Township-44400	2015.7175206589945
901	Tallmadge	Tallmadge Township	77980	Tallmadge Township-77980	23310.833484387396
902	Lincoln	Lincoln Township	47680	Lincoln Township-47680	1568.1446468489592
903	Bengal	Bengal Township	07240	Bengal Township-07240	4597.108737998906
904	Beaver	Beaver Township	06580	Beaver Township-06580	339.5222811737476
905	Oronoko	Oronoko Township	61180	Oronoko Township-61180	9902.037853626052
906	Torch Lake	Torch Lake Township	80100	Torch Lake Township-80100	1345.5707259460078
907	Gaines	Gaines Township	31220	Gaines Township-31220	34228.52154762329
908	Gustin	Gustin Township	35740	Gustin Township-35740	804.4654538402423
909	Antioch	Antioch Township	03060	Antioch Township-03060	637.407404729684
910	McKinley	McKinley Township	50340	McKinley Township-50340	565.3088110700032
911	Breitung	Breitung Township	10220	Breitung Township-10220	3110.575198881753
912	Millbrook	Millbrook Township	54020	Millbrook Township-54020	887.6000621618878
913	Chandler	Chandler Township	14560	Chandler Township-14560	593.5682349950287
914	Alamo	Alamo Township	00840	Alamo Township-00840	19463.982297115563
915	Port Austin	Port Austin Township	65700	Port Austin Township-65700	153.28148728809145
916	Schoolcraft	Schoolcraft Township	71840	Schoolcraft Township-71840	525.4291513192928
917	Marion	Marion Township	51720	Marion Township-51720	485.2999869358355
918	Salem	Salem Township	71100	Salem Township-71100	23783.155797900865
919	Carp Lake	Carp Lake Township	13500	Carp Lake Township-13500	750.4811782246927
920	Readmond	Readmond Township	67540	Readmond Township-67540	504.33217302622427
921	Solon	Solon Township	74460	Solon Township-74460	7134.781554330511
922	Orange	Orange Township	60920	Orange Township-60920	6374.822313887158
923	Delhi	Delhi Township	21420	Delhi Township-21420	66908.2880834488
924	Dayton	Dayton Township	19980	Dayton Township-19980	1178.2394630387216
925	Marenisco	Marenisco Township	51560	Marenisco Township-51560	1011.52161850185
926	Gibson	Gibson Township	32040	Gibson Township-32040	1019.1302135446069
927	Laketon	Laketon Township	45160	Laketon Township-45160	26625.860926649053
928	Redford	Redford Township	67625	Redford Township-67625	89816.89008599504
929	Fork	Fork Township	29680	Fork Township-29680	1054.224417954434
930	Pine Grove	Pine Grove Township	64280	Pine Grove Township-64280	5725.476798384372
931	Mendon	Mendon Township	53000	Mendon Township-53000	2365.53436761745
932	Grand Rapids	Grand Rapids Township	34020	Grand Rapids Township-34020	17244.326465546088
933	Harrisville	Harrisville Township	36880	Harrisville Township-36880	454.0657060069018
934	Gilead	Gilead Township	32120	Gilead Township-32120	1003.2858101280248
935	Benton	Benton Township	07400	Benton Township-07400	9678.415180898268
936	Iosco	Iosco Township	40900	Iosco Township-40900	11132.721037164643
937	Bowne	Bowne Township	09780	Bowne Township-09780	2801.062524428648
938	Courtland	Courtland Township	18500	Courtland Township-18500	3522.084444207361
939	Spurr	Spurr Township	76000	Spurr Township-76000	430.14876982882504
940	Davison	Davison Township	19900	Davison Township-19900	16536.747601485575
941	Benton	Benton Township	07440	Benton Township-07440	21464.72577065942
942	Bainbridge	Bainbridge Township	04840	Bainbridge Township-04840	7191.939662176918
943	Freesoil	Freesoil Township	30620	Freesoil Township-30620	654.5686789986502
944	Napoleon	Napoleon Township	56640	Napoleon Township-56640	8456.240455539806
945	Mackinaw	Mackinaw Township	50300	Mackinaw Township-50300	222.4174896827561
946	Cleon	Cleon Township	16380	Cleon Township-16380	694.5614606244646
947	Alabaster	Alabaster Township	00760	Alabaster Township-00760	7464.56320600106
948	Mason	Mason Township	52120	Mason Township-52120	585.4776606022117
949	Eureka	Eureka Township	26520	Eureka Township-26520	5978.762895378825
950	Kalkaska	Kalkaska Township	42280	Kalkaska Township-42280	5862.050318469912
951	Olive	Olive Township	60460	Olive Township-60460	11252.67504001396
952	Park	Park Township	62460	Park Township-62460	43044.48054464749
953	Sheridan	Sheridan Township	72980	Sheridan Township-72980	2482.320820571078
954	Butman	Butman Township	12180	Butman Township-12180	833.8172333116413
955	Grout	Grout Township	35620	Grout Township-35620	3110.229772288868
956	Portage	Portage Township	65600	Portage Township-65600	761.104822388447
957	Elba	Elba Township	25120	Elba Township-25120	840.9210459668233
958	Brooks	Brooks Township	11060	Brooks Township-11060	2774.706558650001
