	region	municipality	total_area_ghs	nres_area_ghs	res_area_ghs	msft_commercial_bldg_area	msft_commercial_bldg_count	msft_residential_bldg_area	msft_residential_bldg_count	msft_building_count	msft_area_sum	avgPOP2015	sumPOP2015	boundary_area	sum_population_density	index_gt	city	year	city_id	total_area	population	city_type	wastewater	railway_length	road_length	RES-electricity	COM-electricity	MUN-electricity	IND-electricity	AFF-electricity	RES-coal	COM-coal	MUN-coal	IND-coal	AFF-coal	RES-natural_gas	COM-natural_gas	MUN-natural_gas	IND-natural_gas	AFF-natural_gas	RES-oil	COM-oil	MUN-oil	IND-oil	AFF-oil	RES-kerosene	COM-kerosene	MUN-kerosene	IND-kerosene	AFF-kerosene	RES-lpg	COM-lpg	MUN-lpg	IND-lpg	AFF-lpg	RES-biomass	COM-biomass	MUN-biomass	IND-biomass	AFF-biomass	RES-district_heating	COM-district_heating	MUN-district_heating	IND-district_heating	AFF-district_heating	gt_point_geometry	res_com_electricity	res_com_non_electricity	res_com_non_electricity_adjusted	bottom_up_emissions_estimate_ghs	bottom_up_emissions_estimate_msft	bottom_up_emissions_estimate_ghs_adjusted	absolute_percent_error_ghs	absolute_percent_error_msft	absolute_percent_error_ghs_adjusted	state_x	city_x	state_y	city_y	NAME_x	LABEL_x	FIPSCODE_x	NAME_y	LABEL_y	FIPSCODE_y	graced_emissions_2019(metric tonnes/year)	absolute_percent_error_graced (percent error)	checking_absolute_percentage_error_duke	checking_absolute_percentage_error_graced	edgar_emission_2015(tons_CO2)	absolute_percent_error_edgar (percent error)	checking_absolute_percentage_error_edgar
2038	michigan	everett township-26700	461629.0	16034.0	445595.0	46542.90153613184	65.0	174477.98217857734	1321	1386	221020.88371470917	15.623931050300598	2359.2135885953903	92874108.13319135	2.5402274498421316e-05																																																			None				16925.61854509812	8318.240624835966	10023.351302407107								Everett	Everett Township	26700	Everett	Everett Township	26700	1135.7839201765478				2325.7378657323725		
2039	michigan	winsor township-87960	898899.0	75776.0	823123.0	339417.0523296319	308.0	199938.78321414636	1210	1518	539355.8355437783	12.710605785250664	1830.3272330760956	91649643.56622693	1.997091490872502e-05	1.0	Pigeon	2015.0	5005642.0		1152.0	RUR				15840000.0	23400000.0		34560000.0							39009292.56	27591938.64		78018585.12		383840.75652	1279469.1884		1407416.10724																						POINT (-83.26996 43.83002)	73800000.0	147690542.37216	7699.1079738606995	33204.02282346708	21545.424070993395	19663.422316057204	331.27103732274327	179.84312136084372	155.39870830252852					Winsor	Winsor Township	87960	Winsor	Winsor Township	87960	387.9334131652882	94.96132000639082	155.39870830252852	94.96132000639082	2674.677581389404	65.259902959275	65.25990295927498
2040	michigan	franklin township-30300	486187.0	3497.0	482690.0	58203.9127068269	71.0	109643.57136254948	881	952	167847.4840693764	26.428343274858264	2378.5508947372437	53654730.56673439	4.43306837927154e-05																																																			None				17752.13358900696	6443.193358479394	10512.81351140992								Franklin	Franklin Township	30300	Franklin	Franklin Township	30300	3804.851859698931				6333.715932720396		
2041	michigan	chandler township-14600	302830.0	7089.0	295741.0	108655.1731817374	127.0	68374.46413487394	421	548	177029.63731661133	2.762419376548354	395.02597084641457	91720840.21401165	4.306828959751165e-06																																																			None				11084.32854078732	7056.553009408849	6564.139361854251								Chandler	Chandler Township	14600	Chandler	Chandler Township	14600	620.089708919595				822.4621477661573		
2042	michigan	metamora township-53360	1237403.0	10117.0	1227286.0	260694.43659225374	433.0	405270.15738046216	2405	2838	665964.5939727159	29.354309639674707	4373.792136311531	91427759.85097551	4.7838776138020666e-05	112.0	Metamora	2015.0	5001755.0		568.0	RUR				6120000.0	2808000.0		2484000.0	3492000.0						16174584.72	2568904.632		4471796.952	941931.6984	153536.302608	204715.070144		140741.610724	1407416.10724																					POINT (-83.28911 42.94142)	11412000.0	23714279.287476003	1236.225379256124	45187.97981350536	25728.76525271316	26760.32164555787	3555.3188902088714	1981.2358073569867	2064.6798467816934					Metamora	Metamora Township	53360	Metamora	Metamora Township	53360	2004.4475962082404	62.14256961901074	2064.6798467816934	62.14256961901074	3363.843123771192	172.10597519000322	172.10597519000322
2043	michigan	elbridge township-25200	376816.0		376816.0	45047.110365198896	80.0	124889.72888268395	865	945	169936.83924788283	6.199091595682231	954.6601057350636	93861977.86520065	1.0170892702752261e-05																																																			None					6446.78243805505									Elbridge	Elbridge Township	25200	Elbridge	Elbridge Township	25200	218.0210054812909				669.2553586023068		
2044	michigan	perry township-63720	932476.0	20269.0	912207.0	127893.62346239769	210.0	385096.9593286572	2467	2677	512990.5827910549	32.60789741647655	4728.145125389099	83390858.51152244	5.6698602338238225e-05	529.0	Morrice	2015.0	5002537.0		896.0	RUR				14040000.0	4320000.0		468000.0							32349169.44	3805784.64		780185.8512		281483.221448	294277.913332		80606.5588692																						POINT (-84.1783 42.83864)	18828000.0	37591507.6248492	1959.6452924833886	34122.325338452516	19416.33231586763	20207.24106543158	1641.250085887253	890.8085095982856	931.168300862431					Perry	Perry Township	63720	Perry	Perry Township	63720	1321.3977113109115	32.56954631639732	931.168300862431	32.56954631639732	6452.558239224987	229.2717444312532	229.27174443125318
2045	michigan	webber township-85060	274249.0	476.0	273773.0	70425.01771681668	47.0	56128.049690060696	481	528	126553.06740687738	11.615337404095895	1788.7619602307677	92022133.53653498	1.9438388260369845e-05	325.0	Baldwin	2015.0	4984802.0		1206.0	RUR				13320000.0	11880000.0		2628000.0	129600.0						33300615.6	13320246.24		5898966.192	35203.50792	332661.988984	729297.437388		108754.881014	53737.7059128																					POINT (-85.85173 43.90112)	27828000.0	53690542.33938601	2798.8879721521926	10005.386609233079	5004.502849500737	5925.189949987829	257.47720911957333	78.80325683962788	111.69800324061131					Webber	Webber Township	85060	Webber	Webber Township	85060	687.6506058021446	75.43129226164137	111.69800324061131	75.43129226164137	1121.4430031385796	59.93255127406008	59.932551274060074
2046	michigan	moltke township-54860	166467.0		166467.0	23156.556828923185	46.0	68261.30168122641	471	517	91417.8585101496	1.8381765296324988	277.56465597450733	87986446.43278034	3.1546296870457254e-06																																																			None					3462.117118318062									Moltke	Moltke Township	54860	Moltke	Moltke Township	54860	407.5105922111562				3437.616838693648		
2047	michigan	sherman township-73180	273005.0	43.0	272962.0	39714.26407484751	38.0	86270.17659369668	648	686	125984.4406685442	2.8677168963762116	421.5543837673031	93086475.40427606	4.528631919260941e-06																																																			None				9957.623990361839	4814.260819383368	5896.904927092281								Sherman	Sherman Township	73180	Sherman	Sherman Township	73180	149.08126364393547				1015.4112532280404		
