	municipality	total_area_ghs	nres_area_ghs	res_area_ghs	msft_commercial_bldg_area	msft_commercial_bldg_count	msft_residential_bldg_area	msft_residential_bldg_count	msft_building_count	msft_area_sum	avgPOP2015	sumPOP2015	boundary_area	sum_population_density	index_gt	city	year	city_id	total_area	population	city_type	wastewater	railway_length	road_length	RES-electricity	COM-electricity	MUN-electricity	IND-electricity	AFF-electricity	RES-coal	COM-coal	MUN-coal	IND-coal	AFF-coal	RES-natural_gas	COM-natural_gas	MUN-natural_gas	IND-natural_gas	AFF-natural_gas	RES-oil	COM-oil	MUN-oil	IND-oil	AFF-oil	RES-kerosene	COM-kerosene	MUN-kerosene	IND-kerosene	AFF-kerosene	RES-lpg	COM-lpg	MUN-lpg	IND-lpg	AFF-lpg	RES-biomass	COM-biomass	MUN-biomass	IND-biomass	AFF-biomass	RES-district_heating	COM-district_heating	MUN-district_heating	IND-district_heating	AFF-district_heating	gt_point_geometry	res_com_electricity	res_com_non_electricity	res_com_non_electricity_adjusted	bottom_up_emissions_estimate_ghs	bottom_up_emissions_estimate_msft	bottom_up_emissions_estimate_ghs_adjusted	absolute_percent_error_ghs	absolute_percent_error_msft	absolute_percent_error_ghs_adjusted
37	gosnold	42119.0		42119.0	9100.323412830263	20	31252.028920367415	234	254	40352.352333197676	1.3324674221660662	70.6207733748015	34828909.87155423	2.0276481128822097e-06																																																			None					1633.0579914430402				
38	peru	176991.0	701.0	176290.0	9077.310194000414	19	81444.65436485577	620	639	90521.96455885618	7.540915563051562	776.7143029943109	67480299.65712582	1.151023790559429e-05																																																			None				7193.819872899	3672.3830247928363	4260.180128730787			
39	sherborn	714462.0	11848.0	702614.0	125904.78488628994	253	295323.8531120748	1643	1896	421228.6379983647	72.01081419171709	4752.713736653328	41871595.507001095	0.00011350686973126342																																																			None				29032.261901063997	17022.669722176986	17192.905497810098			
40	middleborough	4178185.0	321558.0	3856627.0	733721.5319244704	563	1343523.273931855	8949	9512	2077244.8058563257	81.31042734788848	23254.782221496105	187158077.3300233	0.0001242520897481225																																																			None				169581.68628337802	83856.30452738778	100426.27461701645			
41	fall river	7507789.0	1007392.0	6500397.0	1947835.1761736884	1390	2744970.9262669417	20745	22135	4692806.10244063	559.2188556762139	87238.14148548938	99901550.83424172	0.0008732411134461398	14.0	Fall River	2015.0	4936159.0		88930.0	URB				900000000.0	900000000.0		291600000.0	39600000.0						1427169240.0	903873852.0		656497850.4	10465907.76	946807199.416	140741610.724		16633099.4492	1100343.502024																					POINT (-71.15505 41.70149)	2091600000.0	4091722851.9892	238342.8561283709	304382.05631762405	189214.44816052768	180255.05375129695	27.707648243371132	20.612494440103035	24.371530710275625
42	holliston	2170098.0	188623.0	1981475.0	439624.2649747498	378	861171.2596921709	5248	5626	1300795.5246669208	177.99684277406107	13883.753736376762	49380500.303032614	0.0002811586284297755																																																			None				88061.56219181699	52527.50576841429	52150.05712999402			
43	greenfield	2629592.0	201097.0	2428495.0	615071.1638249576	568	897467.9227821757	6053	6621	1512539.0866071333	190.66328394541176	17731.685406923294	56675266.969012916	0.00031286461194118516																																																			None				106729.326700623	60995.80770718631	63205.10727210894			
44	grafton	2600985.0	190730.0	2410255.0	526932.8092755912	629	955603.36661063	5888	6517	1482536.175886221	183.0123448723241	17386.17276287079	60400086.31016615	0.0002878501311006316																																																			None				105574.69809890998	59845.92140229854	62521.33621417449			
45	blackstone	1352459.0	58064.0	1294395.0	113606.15665090972	140	475406.5905046586	3314	3454	589012.7471555683	176.80942809063455	8133.233692169189	29623731.454077557	0.0002745512902308494																																																			None				54929.185243416	23852.522715883482	32529.063501150955			
46	medford	4292721.0	290417.0	4002304.0	820568.088950171	512	1812111.203485802	14677	15189	2632679.292435973	1643.4875766214202	55878.57760512829	21904510.94006206	0.0025510077699534327	8.0	Medford	2015.0	4943629.0		57213.0	URB				540000000.0	540000000.0		43200000.0							894359390.4	542324311.2		78970031.28		511787675.36	84444966.4344		6141452.10432																						POINT (-71.10616 42.41843)	1123200000.0	2118027826.77872	123375.12090986043	174261.99312553502	106365.0850898887	103197.95232894183	41.24565134396362	13.787249564196575	16.354325274104752
47	pembroke	2705146.0	81541.0	2623605.0	418437.40992425603	406	958638.8178752019	6500	6906	1377076.227799458	187.7592361149035	17837.127430915833	61055432.99790888	0.00029214644062104585																																																			None				109894.981697379	55644.932377770456	65079.80816118784			
48	duxbury	2277346.0	62100.0	2215246.0	336028.7837351392	590	957535.2792942263	5937	6527	1293564.0630293656	155.3109336463354	14443.916829109192	62372709.08132271	0.0002315743061645269																																																			None				92521.03065490798	52315.45889837657	54790.9543538365			
49	boston	27057559.0	3838769.0	23218790.0	11957327.987009808	8218	9102879.7403001	68321	76539	21060207.72730991	2959.4921954250335	591898.4390850067	129613298.21206734	0.004566649003226271	26.0	Boston	2015.0	4930956.0		673184.0	URB				5040000000.0	15480000000.0		936000000.0	100800000.0						7992147744.0	18077477040.0		1712603088.0	27591938.64	4989929834.76	2047150701.44		75488682.1156	2814832.21448																					POINT (-71.05977 42.35843)	21456000000.0	34894797090.3156	2032621.9305108835	1096807.5567370711	846607.4538018472	649529.4350996935	46.03976567047089	58.34899539881185	68.04474923005286
50	concord	2467254.0	261751.0	2205503.0	736920.702306266	1045	916703.0823344763	5283	6328	1653623.7846407422	169.39588998813255	17278.38077878952	66941395.801482506	0.00025811204818658516																																																			None				100082.62024467299	66634.32303407392	59268.92770889534			
51	windsor	174780.0	647.0	174133.0	12646.740433952373	30	102113.65504759648	722	752	114760.39548154885	6.198381692791979	892.5669637620449	91122453.48692714	9.7952472700935e-06																																																			None				7103.9892872969995	4654.810895173948	4206.982455937283			
52	taunton	7859823.0	919993.0	6939830.0	1881605.5201350485	1015	2392635.913357187	17483	18498	4274241.433492236	280.109254978141	54901.41397571564	125056537.81093878	0.0004390127452490003	28.0	Taunton	2015.0	4952629.0		56843.0	URB				612000000.0	612000000.0		277200000.0	10440000.0						951446160.0	618440004.0		561353234.4	2854338.48	626939902.316	95960189.13		15353630.2608	281483.221448																					POINT (-71.08977 41.9001)	1501200000.0	2869493120.1068	167147.9742462211	318760.7165940871	172252.88680602028	188770.09636701836	90.70570135928145	3.0541276870512792	12.935916344966467
53	wareham	4609272.0	203826.0	4405446.0	579432.6144723714	518	1452864.4294795676	11889	12407	2032297.0439519389	127.23509683221579	19085.264524832368	96272969.20920032	0.00019824115410173185																																																			None				187197.692838462	82151.23278963452	110858.47369893719			
54	north brookfield	758801.0	15016.0	743785.0	116919.8680855219	131	290478.3124253073	1959	2090	407398.1805108292	53.691773334246	4778.567826747894	56884991.87851986	8.400401703410125e-05																																																			None				30832.060046544004	16467.58905296045	18258.74595956336			
55	charlton	1798545.0	73313.0	1725232.0	266122.1130263914	316	780326.9687962334	5198	5514	1046449.0818226249	73.43350715691086	12997.730766773224	113502115.8967378	0.00011451531686509112																																																			None				73049.744214063	42325.93390452518	43260.05852356811			
56	deerfield	1466980.0	115753.0	1351227.0	414063.2711198875	362	382545.93162193126	2238	2600	796609.2027418187	38.10067952702295	5105.491056621075	86690482.25461738	5.889332858508977e-05																																																			None				59538.65611758301	32053.42284594575	35258.792152832655			
57	conway	339964.0	3124.0	336840.0	51361.58660008444	104	148281.425176884	984	1088	199643.01177696843	11.686979718983938	1823.1688361614943	98145549.526387	1.8576174314163116e-05																																																			None				13816.471245516	8074.533776020291	8182.114271594575			
58	dalton	1095551.0	101907.0	993644.0	205957.6211608535	193	414620.73794387287	2680	2873	620578.3591047263	74.14937558016935	6747.59317779541	56679478.76426327	0.00011904825741004883																																																			None				44451.664229565	25062.59933371846	26324.27555674839			
