	municipality	state_x	city_x	total_area_ghs	nres_area_ghs	res_area_ghs	msft_commercial_bldg_area	msft_commercial_bldg_count	msft_residential_bldg_area	msft_residential_bldg_count	msft_building_count	msft_area_sum	state_y	city_y	avgPOP2015	sumPOP2015	boundary_area	sum_population_density	index_gt	city	year	city_id	total_area	population	city_type	wastewater	railway_length	road_length	RES-electricity	COM-electricity	MUN-electricity	IND-electricity	AFF-electricity	RES-coal	COM-coal	MUN-coal	IND-coal	AFF-coal	RES-natural_gas	COM-natural_gas	MUN-natural_gas	IND-natural_gas	AFF-natural_gas	RES-oil	COM-oil	MUN-oil	IND-oil	AFF-oil	RES-kerosene	COM-kerosene	MUN-kerosene	IND-kerosene	AFF-kerosene	RES-lpg	COM-lpg	MUN-lpg	IND-lpg	AFF-lpg	RES-biomass	COM-biomass	MUN-biomass	IND-biomass	AFF-biomass	RES-district_heating	COM-district_heating	MUN-district_heating	IND-district_heating	AFF-district_heating	gt_point_geometry	res_com_electricity	res_com_non_electricity	res_com_non_electricity_adjusted	bottom_up_emissions_estimate_ghs	bottom_up_emissions_estimate_msft	bottom_up_emissions_estimate_ghs_adjusted	absolute_percent_error_ghs	absolute_percent_error_msft	absolute_percent_error_ghs_adjusted
1096	alpatláhuac, veracruz	Veracruz	Alpatláhuac	490567.0	676.0	489891.0	34656.483748142746	64.0	344030.39627762925	4366	4430	378686.880025772	Veracruz	Alpatláhuac	123.64621656396416	11004.51327419281	71431885.73005368	0.0001540560376045464																																																			None				10939.634781862682	8365.010497156924	6478.45171781908			
1097	altolucerodegutiérrezbarrios, veracruz	Veracruz	AltoLucerodeGutiérrezBarrios	2358900.0	67655.0	2291245.0	267145.35255694983	384.0	1048291.9720613996	12769	13153	1315437.3246183496	Veracruz	AltoLucerodeGutiérrezBarrios	37.3403134903117	29722.889538288116	649056368.2046286	4.5794003409142044e-05																																																			None				52453.049657382	28714.71194046764	31062.69600710162			
1098	altotonga, veracruz	Veracruz	Altotonga	4037663.0	26780.0	4010883.0	565064.4365729793	913.0	2045303.0055438252	25356	26269	2610367.4421168044	Veracruz	Altotonga	151.3389698556154	61140.943821668625	330250056.8780068	0.00018513530141269248	606.0	Altotonga	2016.0	8583558.0		62978.0	URB				110000000.0	20000000.0									20000000.0	2400000.0					330000.0				980000.0					120000000.0	11000000.0														POINT (-97.13676 19.77764)	130000000.0	154710000.0	9039.7053	89990.27149706172	56900.195130289096	53292.23878055995	895.5000579173939	529.4474569905403	489.5351342986806
1099	alvarado, veracruz	Veracruz	Alvarado	4699141.0	31237.0	4667904.0	1006523.9587013475	1578.0	1989685.7304410916	22134	23712	2996209.689142439	Veracruz	Alvarado	57.71746478567034	50618.216617032886	729481607.5972669	6.938929794783566e-05																																																			None				104732.94011125645	64474.963916314024	62022.84713388607			
1100	amatlándelosreyes, veracruz	Veracruz	AmatlándelosReyes	3759936.0	186892.0	3573044.0	678428.2735851493	670.0	1674981.0031660818	19293	19963	2353409.276751231	Veracruz	AmatlándelosReyes	239.39840347804721	45246.29825735092	152210844.78942823	0.00029726067363955325	471.0	Amatlán de los Reyes	2016.0	8583562.0		45335.0	URB				82000000.0	28000000.0									15000000.0	3400000.0					470000.0				740000.0					94000000.0	16000000.0														POINT (-96.8812 18.85706)	110000000.0	129610000.0	7573.1123	83422.23155128224	50904.5171714574	49402.64552466934	1001.5580945667773	572.1743340773833	552.3427036024455
1101	apazapan, veracruz	Veracruz	Apazapan	744159.0	93737.0	650422.0	83801.52281237704	94.0	203338.75556944314	2412	2506	287140.2783818202	Veracruz	Apazapan	47.91059179765632	3976.579119205475	68225312.32743777	5.8285978965115524e-05																																																			None				16378.26281362836	6208.481550668607	9699.207238230714			
1102	aquila, veracruz	Veracruz	Aquila	95464.0	138.0	95326.0	4869.77214461852	9.0	64713.9219798608	963	972	69583.69412447933	Veracruz	Aquila	78.31443099975586	1957.8607749938963	20716522.067195747	9.450721354884828e-05																																																			None				2128.83032480976	1540.5686884215784	1260.6933183523397			
1103	atlahuilco, veracruz	Veracruz	Atlahuilco	485117.0		485117.0	35082.180083540115	78.0	477212.37652609835	5697	5775	512294.55660963844	Veracruz	Atlahuilco	130.10383096882995	9237.371998786926	62280655.34800679	0.0001483184778190128																																																			None					11343.895078576623				
1104	atoyac, veracruz	Veracruz	Atoyac	1593629.0	87997.0	1505632.0	225448.66544729262	359.0	801197.6861965598	8321	8680	1026646.3516438524	Veracruz	Atoyac	160.70940367642203	24427.829358816147	123531736.48226987	0.00019774537341116547																																																			None				35337.56290492716	22371.105606152334	20926.90475229786			
1105	atzacan, veracruz	Veracruz	Atzacan	1037913.0	1809.0	1036104.0	84591.73439862773	161.0	667193.5899013462	7871	8032	751785.3242999739	Veracruz	Atzacan	312.00720479374843	26208.605202674866	65739847.87342957	0.0003986715219228206																																																			None				23144.55583565052	16569.70717830724	13706.205965872237			
1106	atzalan, veracruz	Veracruz	Atzalan	3067845.0	2724.0	3065121.0	235063.95600598134	444.0	1825208.4832703518	22653	23097	2060272.4392763332	Veracruz	Atzalan	85.96464619123019	55877.02002429962	524281104.1427551	0.00010657835955324649	85.0	Atzalan	2016.0	8583572.0		51648.0	URB				91000000.0	5000000.0									17000000.0	610000.0					84000.0				820000.0					100000000.0	2800000.0														POINT (-97.10567 19.90698)	96000000.0	121314000.0	7088.37702	68416.3956518946	45401.82296714371	40516.18950505198	865.1912625253475	540.5108368113257	471.58626566751076
1107	ayahualulco, veracruz	Veracruz	Ayahualulco	1573249.0	3893.0	1569356.0	85346.29712133761	160.0	833256.6150407244	10948	11108	918602.912162062	Veracruz	Ayahualulco	127.12967547534201	26824.361525297165	174304744.47006175	0.0001538934674833505																																																			None				35079.39502165116	20288.511143246	20774.017731821816			
1108	banderilla, veracruz	Veracruz	Banderilla	1347255.0	66092.0	1281163.0	329929.54237378837	437.0	506455.6445481119	5654	6091	836385.1869219003	Veracruz	Banderilla	1219.6790805381277	28052.618852376938	19964127.062716953	0.0014051512878199047																																																			None				29893.779862104602	17883.72458108605	17703.096434338346			
