	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)	absolute_percent_error_graced (percent error)	region	state	city	NAME	LABEL	FIPSCODE
214	wakefield			652250.065674477	15654.00157618745		massachusetts					
215	rockland			355696.25065664435	8536.710015759465		massachusetts					
216	medway			242113.01580076036	5810.712379218247		massachusetts					
217	west brookfield			83144.1293767286	1995.4591050414865		massachusetts					
218	new salem			76259.30467751052	1830.2233122602524		massachusetts					
219	chatham			76988.29617292204	1847.719108150129		massachusetts					
220	waltham	4813190787.3292	280368.3633619259	1093667.1398090045	26248.011355416107	90.63802668722197	massachusetts					
221	holbrook			373721.7309381982	8969.321542516756		massachusetts					
222	pepperell			140969.94909442335	3383.2787782661608		massachusetts					
223	gill			44983.784127768326	1079.6108190664395		massachusetts					
224	dennis			108100.0337179388	2594.4008092305307		massachusetts					
225	leverett			58462.56064353062	1403.1014554447347		massachusetts					
226	brookfield			53753.11091331527	1290.0746619195666		massachusetts					
227	north attleborough			678635.5471506058	16287.25313161454		massachusetts					
228	weymouth	4018853656.3473234	234098.2254822316	416358.1949053446	9992.59667772827	95.73145133537686	massachusetts					
229	westhampton			41189.79454273593	988.5550690256624		massachusetts					
230	west boylston			248029.5000432064	5952.708001036955		massachusetts					
231	leicester			769071.3346752394	18457.712032205745		massachusetts					
232	hinsdale			76095.69535329797	1826.296688479151		massachusetts					
233	shrewsbury			840426.3114888929	20170.231475733428		massachusetts					
234	provincetown			0.0	0.0		massachusetts					
235	upton			445675.4895103989	10696.211748249574		massachusetts					
236	billerica			1038069.7386283292	24913.673727079906		massachusetts					
237	rochester			106530.3186860266	2556.727648464638		massachusetts					
238	harvard			248334.1072972456	5960.018575133895		massachusetts					
239	woburn			1283979.7690654648	30815.51445757116		massachusetts					
240	wilbraham			373491.5032643432	8963.796078344238		massachusetts					
241	georgetown			168328.7991796367	4039.891180311281		massachusetts					
242	carver			201613.2726130553	4838.718542713327		massachusetts					
243	eastham			51400.904890668	1233.6217173760322		massachusetts					
244	melrose			811411.8997820667	19473.8855947696		massachusetts					
245	manchester			0.0	0.0		massachusetts					
246	sutton			331961.06567852915	7967.065576284699		massachusetts					
247	framingham			832700.9427384475	19984.82262572274		massachusetts					
248	holyoke			887873.0368018101	21308.95288324344		massachusetts					
249	new ashford			33616.536359435224	806.7968726264454		massachusetts					
250	new marlborough			20627.66072161149	495.0638573186757		massachusetts					
251	montgomery			41286.36955399823	990.8728692959576		massachusetts					
252	andover			1388505.6585373622	33324.135804896694		massachusetts					
253	east brookfield			42306.03230866454	1015.3447754079488		massachusetts					
254	spencer			206119.2270939229	4946.86145025415		massachusetts					
255	wilmington			770017.7944738736	18480.42706737297		massachusetts					
256	richmond			19742.443448859107	473.81864277261855		massachusetts					
257	douglas			216683.3420891238	5200.400210138971		massachusetts					
258	abington			424043.4438865127	10177.042653276303		massachusetts					
259	southwick			234261.3213343423	5622.271712024216		massachusetts					
260	yarmouth			311390.7580128586	7473.378192308606		massachusetts					
261	alford			3681.7074826564663	88.3609795837552		massachusetts					
262	springfield	6491995741.15948	378158.7519225397	2073791.7323228407	49771.00157574819	86.83859587469152	massachusetts					
263	bedford			513265.5649408466	12318.37355858032		massachusetts					
264	ashland			526201.6084002061	12628.838601604946		massachusetts					
265	monroe			3478.835416307962	83.49204999139108		massachusetts					
266	oakham			15965.471276826916	383.171310643846		massachusetts					
267	hanson			286273.1234201416	6870.554962083397		massachusetts					
268	raynham			323629.8102305573	7767.115445533374		massachusetts					
269	weston			1010707.2759581266	24256.97462299504		massachusetts					
270	gardner			166491.78595211057	3995.802862850654		massachusetts					
271	orange			91195.45369495184	2188.690888678844		massachusetts					
272	dartmouth			1453240.668382648	34877.77604118355		massachusetts					
273	cummington			9160.104957785195	219.84251898684468		massachusetts					
274	granby			273455.48986717046	6562.931756812091		massachusetts					
275	lee			74574.12675334998	1789.7790420803997		massachusetts					
276	sterling			201564.3028853821	4837.543269249171		massachusetts					
277	warren			93720.92576348005	2249.302218323521		massachusetts					
278	lakeville			249321.63478867817	5983.719234928277		massachusetts					
279	royalston			26283.303110107503	630.79927464258		massachusetts					
280	watertown			1103574.2158082505	26485.78117939801		massachusetts					
281	easton			927428.4161859038	22258.28198846169		massachusetts					
282	east bridgewater			542815.3760525511	13027.569025261228		massachusetts					
283	natick			372924.7512307746	8950.19402953859		massachusetts					
284	brockton	3958427610.37752	230578.40830449056	1157075.4997474286	27769.811993938285	87.95645602806536	massachusetts					
285	wendell			57844.69765299596	1388.2727436719028		massachusetts					
286	westford			437286.2245542769	10494.869389302645		massachusetts					
287	north reading			478656.1986598937	11487.748767837447		massachusetts					
288	tisbury			33538.10611756128	804.9145468214706		massachusetts					
289	acton			466286.61621777166	11190.87878922652		massachusetts					
290	middleton			309819.1118049634	7435.658683319121		massachusetts					
291	tyringham			9742.531459909049	233.8207550378172		massachusetts					
292	hingham			401071.45772428287	9625.714985382789		massachusetts					
293	rockport			208165.4758524752	4995.971420459405		massachusetts					
294	oak bluffs			6933.515312683048	166.40436750439315		massachusetts					
295	rutland			145485.5063576112	3491.652152582669		massachusetts					
296	mattapoisett			117355.84634089298	2816.540312181432		massachusetts					
297	westport			537356.443265831	12896.554638379945		massachusetts					
298	charlemont			13662.237497467528	327.89369993922065		massachusetts					
299	west springfield			938691.03106349	22528.584745523764		massachusetts					
300	new braintree			27883.702035575017	669.2088488538004		massachusetts					
301	dedham			983449.1730308314	23602.780152739957		massachusetts					
302	princeton			84857.06484319788	2036.569556236749		massachusetts					
303	lincoln			332503.98802981107	7980.095712715465		massachusetts					
304	buckland			17364.41788104357	416.74602914504567		massachusetts					
305	hatfield			233416.94907710733	5602.006777850575		massachusetts					
306	boxborough			111501.5098534961	2676.0362364839066		massachusetts					
307	holden			672367.2076747096	16136.812984193031		massachusetts					
308	methuen			1289538.0846495568	30948.914031589364		massachusetts					
309	ashfield			22763.514201639795	546.324340839355		massachusetts					
310	swansea			605308.5993071212	14527.40638337091		massachusetts					
311	rehoboth			331945.5226951087	7966.692544682609		massachusetts					
312	shirley			123177.44313406892	2956.258635217654		massachusetts					
313	phillipston			26007.340057954767	624.1761613909143		massachusetts					
314	chelmsford			1155010.1501538188	27720.24360369165		massachusetts					
315	south hadley			309007.92505382607	7416.190201291825		massachusetts					
316	williamsburg			76513.42023093256	1836.3220855423813		massachusetts					
317	west newbury			172653.3852133638	4143.681245120732		massachusetts					
318	littleton			228284.0371401685	5478.816891364045		massachusetts					
319	haverhill	2739081544.1128	159551.49994457062	1319118.894891322	31658.85347739173	80.15759583056865	massachusetts					
320	heath			13933.28647839914	334.3988754815793		massachusetts					
321	sudbury			613977.5935285141	14735.46224468434		massachusetts					
322	rowley			95951.21727973771	2302.829214713706		massachusetts					
323	whately			49071.64194758048	1177.7194067419316		massachusetts					
324	bourne			294334.5978351527	7064.030348043665		massachusetts					
325	washington			61348.56816584893	1472.3656359803745		massachusetts					
326	williamstown			138473.02049936674	3323.352491984802		massachusetts					
327	shelburne			83997.09210306797	2015.9302104736316		massachusetts					
328	east longmeadow			492451.2607827653	11818.830258786367		massachusetts					
329	southampton			226794.15951584588	5443.059828380302		massachusetts					
330	monson			174473.1566859975	4187.35576046394		massachusetts					
331	sandisfield			12381.000983766844	297.14402361040425		massachusetts					
332	erving			9242.039456283674	221.80894695080815		massachusetts					
333	monterey			14101.923863105483	338.4461727145316		massachusetts					
334	west tisbury			68516.36435091012	1644.392744421843		massachusetts					
335	townsend			132942.86314698917	3190.6287155277405		massachusetts					
336	winthrop			108449.87813951704	2602.7970753484087		massachusetts					
337	stockbridge			41405.175291025815	993.7242069846196		massachusetts					
338	orleans			72069.13766593003	1729.6593039823208		massachusetts					
339	ayer			100366.44095350332	2408.79458288408		massachusetts					
340	oxford			266415.30106367706	6393.967225528249		massachusetts					
341	hopkinton			518221.1789785191	12437.30829548446		massachusetts					
342	russell			45713.997060925845	1097.1359294622202		massachusetts					
343	merrimac			101825.69469884264	2443.816672772224		massachusetts					
344	northbridge			292585.24700278614	7022.045928066867		massachusetts					
345	blandford			25681.208176273893	616.3489962305734		massachusetts					
346	easthampton			374131.9841511201	8979.167619626884		massachusetts					
347	north andover			735515.6421525392	17652.375411660938		massachusetts					
348	norton			582870.7299119837	13988.89751788761		massachusetts					
349	hampden			143207.01638754664	3436.9683933011192		massachusetts					
350	sunderland			89621.17886986143	2150.9082928766743		massachusetts					
0	aguascalientes, aguascalientes	2873000000.0	167869.39	1684927.9300010104	40438.270320024254	75.91087313772674	mexico	Aguascalientes	Aguascalientes			
1	asientos, aguascalientes	108450000.0	6336.7335	228924.0603928647	5494.177449428752	13.29637818240657	mexico	Aguascalientes	Asientos			
2	calvillo, aguascalientes	150210000.0	8776.7703	182607.30347935835	4382.5752835046005	50.066195950182255	mexico	Aguascalientes	Calvillo			
3	cosío, aguascalientes			54183.484848569125	1300.4036363656592		mexico	Aguascalientes	Cosío			
4	elllano, aguascalientes			94922.76212812764	2278.146291075064		mexico	Aguascalientes	ElLlano			
5	jesúsmaría, aguascalientes	289800000.0	16933.014	341635.0108011072	8199.240259226573	51.57837665978087	mexico	Aguascalientes	JesúsMaría			
6	pabellóndearteaga, aguascalientes	115740000.0	6762.6882000000005	125932.1236751034	3022.370968202481	55.3081425785314	mexico	Aguascalientes	PabellóndeArteaga			
7	rincónderomos, aguascalientes	133080000.0	7775.8644	163550.88035442613	3925.221128506228	49.52045294789056	mexico	Aguascalientes	RincóndeRomos			
8	sanfranciscodelosromo, aguascalientes	100320000.0	5861.6976	214795.6758955881	5155.096221494114	12.054551884523804	mexico	Aguascalientes	SanFranciscodelosRomo			
9	sanjosédegracia, aguascalientes			54881.79049093819	1317.1629717825167		mexico	Aguascalientes	SanJosédeGracia			
10	tepezalá, aguascalientes			97228.1577388979	2333.47578573355		mexico	Aguascalientes	Tepezalá			
11	ensenada, bajacalifornia	1613600000.0	94282.648	1030623.6782974072	24734.96827913777	73.76508954315987	mexico	BajaCalifornia	Ensenada			
12	mexicali, bajacalifornia	3426000000.0	200181.18	3535612.6685834867	84854.70404600368	57.61104812849855	mexico	BajaCalifornia	Mexicali			
13	playasderosarito, bajacalifornia	306400000.0	17902.952	274075.6438475437	6577.815452341048	63.25848691131469	mexico	BajaCalifornia	PlayasdeRosarito			
14	tecate, bajacalifornia	309400000.0	18078.242	559549.7118453747	13429.193084288992	25.716266635389708	mexico	BajaCalifornia	Tecate			
15	tijuana, bajacalifornia	5518000000.0	322416.74	4437390.295835577	106497.36710005385	66.96903296644776	mexico	BajaCalifornia	Tijuana			
16	lapaz, bajacaliforniasur	963000000.0	56268.09	387956.30055600667	9310.95121334416	83.45251951266845	mexico	BajaCaliforniaSur	LaPaz			
17	loreto, bajacaliforniasur			49980.86244595112	1199.5406987028268		mexico	BajaCaliforniaSur	Loreto			
18	loscabos, bajacaliforniasur	1027200000.0	60019.296	660030.3788312253	15840.729091949406	73.6072727478353	mexico	BajaCaliforniaSur	LosCabos			
19	mulegé, bajacaliforniasur	195240000.0	11407.8732	179732.0379860371	4313.56891166489	62.18779051940295	mexico	BajaCaliforniaSur	Mulegé			
20	calkiní, campeche	150210000.0	8776.7703	172876.98605324386	4149.0476652778525	52.72694256020518	mexico	Campeche	Calkiní			
21	campeche, campeche	983900000.0	57489.277	263493.4499329576	6323.842798390982	88.99996116077268	mexico	Campeche	Campeche			
22	carmen, campeche			576539.3741726974	13836.94498014474		mexico	Campeche	Carmen			
23	champotón, campeche	247670000.0	14471.3581	250737.9003837169	6017.709609209206	58.4164142188617	mexico	Campeche	Champotón			
24	escárcega, campeche	169940000.0	9929.5942	207119.275649641	4970.862615591384	49.93891476862786	mexico	Campeche	Escárcega			
25	hecelchakán, campeche			90330.3416611714	2167.928199868113		mexico	Campeche	Hecelchakán			
26	hopelchén, campeche	94290000.0	5509.3647	210770.53751766207	5058.49290042389	8.183734861046862	mexico	Campeche	Hopelchén			
27	tenabo, campeche			40127.70037929508	963.064809103082		mexico	Campeche	Tenabo			
28	berriozábal, chiapas	107710000.0	6293.4953000000005	149106.83291156514	3578.5639898775635	43.13868813284785	mexico	Chiapas	Berriozábal			
29	cacahoatán, chiapas	111220000.0	6498.5846	118484.75843525126	2843.6342024460305	56.24225308314013	mexico	Chiapas	Cacahoatán			
30	catazajá, chiapas			100439.07954111956	2410.5379089868698		mexico	Chiapas	Catazajá			
31	chamula, chiapas	168990000.0	9874.0857	384928.1566394976	9238.275759347942	6.439177863850805	mexico	Chiapas	Chamula			
32	chiapadecorzo, chiapas	245270000.0	14331.1261	420171.2122414945	10084.109093795863	29.63491477619567	mexico	Chiapas	ChiapadeCorzo			
33	comitándedomínguez, chiapas	462100000.0	27000.503	459486.7131184661	11027.681114843186	59.15749749238677	mexico	Chiapas	ComitándeDomínguez			
34	fronterahidalgo, chiapas			21223.52982585941	509.36471582062575		mexico	Chiapas	FronteraHidalgo			
35	huehuetán, chiapas	91060000.0	5320.6358	137672.90946768696	3304.149827224487	37.899342269875206	mexico	Chiapas	Huehuetán			
36	laindependencia, chiapas	100190000.0	5854.1017	206380.94155767697	4953.142597384247	15.390219521053986	mexico	Chiapas	LaIndependencia			
37	latrinitaria, chiapas	183110000.0	10699.1173	425580.14404040034	10213.923456969607	4.534896005209632	mexico	Chiapas	LaTrinitaria			
38	lasmargaritas, chiapas	225690000.0	13187.0667	633094.7083255257	15194.272999812618	15.221021819906458	mexico	Chiapas	LasMargaritas			
39	mazatán, chiapas			126563.93980492944	3037.534555318306		mexico	Chiapas	Mazatán			
