	state	city	municipality	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)
144	Chiapas	VenustianoCarranza	VenustianoCarranza, Chiapas	287683.0164998245	6904.392395995787
145	Chiapas	VillaComaltitlán	VillaComaltitlán, Chiapas	147123.21467286706	3530.957152148809
146	Chiapas	VillaCorzo	VillaCorzo, Chiapas	278810.8982247863	6691.46155739487
147	Chiapas	Villaflores	Villaflores, Chiapas	367613.8488371715	8822.732372092116
148	Chiapas	Yajalón	Yajalón, Chiapas	137854.488125361	3308.507715008664
149	Chiapas	Zinacantán	Zinacantán, Chiapas	197775.6480035747	4746.615552085793
150	Chihuahua	Ahumada	Ahumada, Chihuahua	33384.073794732874	801.217771073589
151	Chihuahua	Aldama	Aldama, Chihuahua	73525.30354341176	1764.6072850418823
152	Chihuahua	Allende	Allende, Chihuahua	51002.719215849	1224.065261180376
153	Chihuahua	AquilesSerdán	AquilesSerdán, Chihuahua	71869.82399974794	1724.8757759939506
154	Chihuahua	Ascensión	Ascensión, Chihuahua	70601.29012647422	1694.4309630353814
155	Chihuahua	Bachíniva	Bachíniva, Chihuahua	31009.342273038932	744.2242145529344
156	Chihuahua	Balleza	Balleza, Chihuahua	98126.10617292531	2355.0265481502074
157	Chihuahua	Batopilas	Batopilas, Chihuahua	78188.30354011939	1876.5192849628654
158	Chihuahua	Bocoyna	Bocoyna, Chihuahua	130874.76991922004	3140.9944780612814
159	Chihuahua	Buenaventura	Buenaventura, Chihuahua	91973.3386944332	2207.3601286663966
160	Chihuahua	Camargo	Camargo, Chihuahua	125524.27443980938	3012.582586555425
161	Chihuahua	Carichí	Carichí, Chihuahua	48132.070893522156	1155.1697014445317
162	Chihuahua	CasasGrandes	CasasGrandes, Chihuahua	98918.2112627594	2374.037070306226
163	Chihuahua	Chihuahua	Chihuahua, Chihuahua	1819713.1762253542	43673.1162294085
164	Chihuahua	Chínipas	Chínipas, Chihuahua	49110.40245699132	1178.6496589677918
165	Chihuahua	Coronado	Coronado, Chihuahua	15144.164493816614	363.4599478515987
166	Chihuahua	CoyamedelSotol	CoyamedelSotol, Chihuahua	11163.105873601762	267.9145409664423
167	Chihuahua	Cuauhtémoc	Cuauhtémoc, Chihuahua	422522.28135587485	10140.534752540996
168	Chihuahua	Cusihuiriachi	Cusihuiriachi, Chihuahua	92152.50402167518	2211.660096520204
169	Chihuahua	Delicias	Delicias, Chihuahua	364871.3069279289	8756.911366270293
170	Chihuahua	Dr.BelisarioDomínguez	Dr.BelisarioDomínguez, Chihuahua	17877.677705644026	429.0642649354566
171	Chihuahua	ElTule	ElTule, Chihuahua	10917.403016516664	262.0176723964
172	Chihuahua	Galeana	Galeana, Chihuahua	28429.95773612816	682.3189856670758
173	Chihuahua	GómezFarías	GómezFarías, Chihuahua	31361.39560125921	752.673494430221
174	Chihuahua	GranMorelos	GranMorelos, Chihuahua	15107.772303087695	362.5865352741047
175	Chihuahua	Guachochi	Guachochi, Chihuahua	242668.74089174301	5824.049781401833
176	Chihuahua	Guadalupe	Guadalupe, Chihuahua	72377.84368140272	1737.0682483536652
177	Chihuahua	GuadalupeyCalvo	GuadalupeyCalvo, Chihuahua	288202.73067584157	6916.865536220198
178	Chihuahua	Guazapares	Guazapares, Chihuahua	51024.67387966117	1224.592173111868
179	Chihuahua	Guerrero	Guerrero, Chihuahua	178265.2597755024	4278.366234612058
180	Chihuahua	HidalgodelParral	HidalgodelParral, Chihuahua	224435.84641415178	5386.460313939642
181	Chihuahua	Huejotitán	Huejotitán, Chihuahua	7736.51739606615	185.6764175055876
182	Chihuahua	IgnacioZaragoza	IgnacioZaragoza, Chihuahua	42384.63271636358	1017.2311851927259
183	Chihuahua	Janos	Janos, Chihuahua	86462.22825649413	2075.093478155859
184	Chihuahua	Jiménez	Jiménez, Chihuahua	109169.4879780124	2620.0677114722976
185	Chihuahua	Juárez	Juárez, Chihuahua	5354721.982751141	128513.32758602739
186	Chihuahua	Julimes	Julimes, Chihuahua	24907.58305675227	597.7819933620544
187	Chihuahua	LaCruz	LaCruz, Chihuahua	30653.166542394876	735.675997017477
188	Chihuahua	López	López, Chihuahua	20215.152976057612	485.16367142538274
189	Chihuahua	Madera	Madera, Chihuahua	103843.84842267082	2492.2523621440996
190	Chihuahua	Maguarichi	Maguarichi, Chihuahua	12336.32889609549	296.0718935062918
191	Chihuahua	ManuelBenavides	ManuelBenavides, Chihuahua	8992.084779338877	215.81003470413305
192	Chihuahua	Matachí	Matachí, Chihuahua	16629.44595756114	399.1067029814674
193	Chihuahua	Matamoros	Matamoros, Chihuahua	22851.150873169958	548.427620956079
194	Chihuahua	Meoqui	Meoqui, Chihuahua	146269.33828361187	3510.464118806685
195	Chihuahua	Morelos	Morelos, Chihuahua	52726.78070682968	1265.4427369639125
196	Chihuahua	Moris	Moris, Chihuahua	29911.65884718153	717.8798123323567
197	Chihuahua	Namiquipa	Namiquipa, Chihuahua	144280.0707499916	3462.721697999799
198	Chihuahua	Nonoava	Nonoava, Chihuahua	18450.079226457587	442.8019014349821
199	Chihuahua	NuevoCasasGrandes	NuevoCasasGrandes, Chihuahua	93533.26098148127	2244.7982635555504
200	Chihuahua	Ocampo	Ocampo, Chihuahua	48508.18615523508	1164.196467725642
201	Chihuahua	Ojinaga	Ojinaga, Chihuahua	124403.50924536015	2985.6842218886436
202	Chihuahua	PraxedisG.Guerrero	PraxedisG.Guerrero, Chihuahua	15483.502912182521	371.6040698923805
203	Chihuahua	RivaPalacio	RivaPalacio, Chihuahua	43932.144689483466	1054.3714725476034
204	Chihuahua	Rosales	Rosales, Chihuahua	90241.97747394066	2165.807459374576
205	Chihuahua	Rosario	Rosario, Chihuahua	13209.85818069047	317.0365963365713
206	Chihuahua	SanFranciscodeBorja	SanFranciscodeBorja, Chihuahua	11627.128075473734	279.0510738113696
207	Chihuahua	SanFranciscodeConchos	SanFranciscodeConchos, Chihuahua	18390.54731801732	441.3731356324157
208	Chihuahua	SanFranciscodelOro	SanFranciscodelOro, Chihuahua	31585.429497457648	758.0503079389836
209	Chihuahua	SantaBárbara	SantaBárbara, Chihuahua	27111.64361144252	650.6794466746205
210	Chihuahua	SantaIsabel	SantaIsabel, Chihuahua	24284.582974150086	582.8299913796021
211	Chihuahua	Satevó	Satevó, Chihuahua	21100.867420045364	506.4208180810887
212	Chihuahua	Saucillo	Saucillo, Chihuahua	112663.20554683378	2703.9169331240105
213	Chihuahua	Temósachic	Temósachic, Chihuahua	36662.174930191184	879.8921983245883
214	Chihuahua	Urique	Urique, Chihuahua	127128.33046437733	3051.079931145056
215	Chihuahua	Uruachi	Uruachi, Chihuahua	46558.67076038843	1117.4080982493222
216	Chihuahua	ValledeZaragoza	ValledeZaragoza, Chihuahua	35754.31988625924	858.1036772702217
217	Coahuila	Abasolo	Abasolo, Coahuila	6924.302062904024	166.18324950969657
218	Coahuila	Acuña	Acuña, Coahuila	386399.69269057305	9273.592624573752
219	Coahuila	Allende	Allende, Coahuila	31357.539202871536	752.580940868917
220	Coahuila	Arteaga	Arteaga, Coahuila	182606.18932062076	4382.548543694898
221	Coahuila	Candela	Candela, Coahuila	15210.418544599663	365.0500450703919
222	Coahuila	Castaños	Castaños, Coahuila	120934.35904501703	2902.4246170804086
223	Coahuila	CuatroCiénegas	CuatroCiénegas, Coahuila	39813.70948192502	955.5290275662005
224	Coahuila	Escobedo	Escobedo, Coahuila	16031.56444786119	384.7575467486685
225	Coahuila	FranciscoI.Madero	FranciscoI.Madero, Coahuila	209859.3353559607	5036.624048543056
226	Coahuila	Frontera	Frontera, Coahuila	292628.8592875987	7023.092622902369
227	Coahuila	GeneralCepeda	GeneralCepeda, Coahuila	70305.53002428726	1687.3327205828944
228	Coahuila	Guerrero	Guerrero, Coahuila	9023.097294392224	216.55433506541337
229	Coahuila	Hidalgo	Hidalgo, Coahuila	4871.049493986289	116.90518785567095
230	Coahuila	Jiménez	Jiménez, Coahuila	54929.9901738842	1318.3197641732208
231	Coahuila	Juárez	Juárez, Coahuila	11065.410452152226	265.5698508516534
232	Coahuila	Lamadrid	Lamadrid, Coahuila	10221.337551041384	245.31210122499323
233	Coahuila	Matamoros	Matamoros, Coahuila	432255.99414162023	10374.143859398886
234	Coahuila	Monclova	Monclova, Coahuila	302736.5876841643	7265.678104419943
235	Coahuila	Morelos	Morelos, Coahuila	33554.6019323533	805.3104463764791
236	Coahuila	Múzquiz	Múzquiz, Coahuila	154887.07320764576	3717.289756983498
237	Coahuila	Nadadores	Nadadores, Coahuila	30001.83475071908	720.044034017258
238	Coahuila	Nava	Nava, Coahuila	207465.02318511094	4979.160556442663
239	Coahuila	Ocampo	Ocampo, Coahuila	65969.02720391052	1583.2566528938523
240	Coahuila	Parras	Parras, Coahuila	144385.79047349223	3465.2589713638135
241	Coahuila	PiedrasNegras	PiedrasNegras, Coahuila	546815.0346682392	13123.56083203774
242	Coahuila	Progreso	Progreso, Coahuila	26850.87433190132	644.4209839656316
243	Coahuila	RamosArizpe	RamosArizpe, Coahuila	252869.24146537186	6068.861795168925
244	Coahuila	Sabinas	Sabinas, Coahuila	185477.23671970784	4451.453681272988
245	Coahuila	Sacramento	Sacramento, Coahuila	10828.027704060138	259.8726648974433
246	Coahuila	Saltillo	Saltillo, Coahuila	1598270.8383883303	38358.50012131993
247	Coahuila	SanBuenaventura	SanBuenaventura, Coahuila	50448.76504139817	1210.7703609935559
248	Coahuila	SanJuandeSabinas	SanJuandeSabinas, Coahuila	83755.28193571	2010.1267664570398
249	Coahuila	SanPedro	SanPedro, Coahuila	381507.30249436415	9156.17525986474
250	Coahuila	SierraMojada	SierraMojada, Coahuila	42770.23039056501	1026.4855293735604
251	Coahuila	Torreón	Torreón, Coahuila	1223844.094403851	29372.258265692428
252	Coahuila	Viesca	Viesca, Coahuila	157155.19822254623	3771.724757341109
253	Coahuila	VillaUnión	VillaUnión, Coahuila	27522.643297397914	660.54343913755
254	Coahuila	Zaragoza	Zaragoza, Coahuila	36365.904318243236	872.7817036378376
255	Colima	Armería	Armería, Colima	86537.30342838026	2076.895282281126
256	Colima	Colima	Colima, Colima	324679.5939122161	7792.310253893185
257	Colima	Comala	Comala, Colima	95510.17607294141	2292.244225750594
258	Colima	Coquimatlán	Coquimatlán, Colima	121164.22955100001	2907.9415092240006
259	Colima	Cuauhtémoc	Cuauhtémoc, Colima	113433.38817258534	2722.401316142048
260	Colima	Ixtlahuacán	Ixtlahuacán, Colima	28404.66654012666	681.7119969630397
261	Colima	Manzanillo	Manzanillo, Colima	407012.7255935628	9768.30541424551
262	Colima	Minatitlán	Minatitlán, Colima	28419.611050047435	682.0706652011385
263	Colima	Tecomán	Tecomán, Colima	316850.5244178037	7604.412586027289
264	Colima	VilladeÁlvarez	VilladeÁlvarez, Colima	248608.4936205017	5966.603846892041
265	DistritoFederal	ÁlvaroObregón	ÁlvaroObregón, DistritoFederal	1552907.0981408332	37269.77035538
266	DistritoFederal	Azcapotzalco	Azcapotzalco, DistritoFederal	813660.3930157116	19527.84943237708
267	DistritoFederal	BenitoJuárez	BenitoJuárez, DistritoFederal	695665.6655058783	16695.97597214108
268	DistritoFederal	Coyoacán	Coyoacán, DistritoFederal	1402064.2875080542	33649.5429001933
269	DistritoFederal	CuajimalpadeMorelos	CuajimalpadeMorelos, DistritoFederal	534694.2247570733	12832.66139416976
270	DistritoFederal	Cuauhtémoc	Cuauhtémoc, DistritoFederal	914664.4506624455	21951.946815898693
271	DistritoFederal	GustavoA.Madero	GustavoA.Madero, DistritoFederal	1883821.2190788607	45211.70925789265
272	DistritoFederal	Iztacalco	Iztacalco, DistritoFederal	611973.6916534076	14687.368599681784
273	DistritoFederal	Iztapalapa	Iztapalapa, DistritoFederal	3172726.3271955573	76145.43185269338
274	DistritoFederal	LaMagdalenaContreras	LaMagdalenaContreras, DistritoFederal	476737.53588084545	11441.70086114029
275	DistritoFederal	MiguelHidalgo	MiguelHidalgo, DistritoFederal	1040588.7205263982	24974.129292633555
276	DistritoFederal	MilpaAlta	MilpaAlta, DistritoFederal	481798.07952474477	11563.153908593875
277	DistritoFederal	Tláhuac	Tláhuac, DistritoFederal	1151128.2248437444	27627.077396249868
278	DistritoFederal	Tlalpan	Tlalpan, DistritoFederal	1309533.0988286047	31428.794371886514
279	DistritoFederal	VenustianoCarranza	VenustianoCarranza, DistritoFederal	825388.6745950165	19809.328190280397
280	DistritoFederal	Xochimilco	Xochimilco, DistritoFederal	1059431.5152154348	25426.356365170435
281	Durango	Canatlán	Canatlán, Durango	135316.44560100656	3247.5946944241573
282	Durango	Canelas	Canelas, Durango	25753.903522806468	618.0936845473551
283	Durango	ConetodeComonfort	ConetodeComonfort, Durango	28288.162046600613	678.9158891184147
284	Durango	Cuencamé	Cuencamé, Durango	177813.615530216	4267.526772725184
285	Durango	Durango	Durango, Durango	1520731.6263918267	36497.55903340384
286	Durango	ElOro	ElOro, Durango	45471.68324062797	1091.3203977750711
287	Durango	GeneralSimónBolívar	GeneralSimónBolívar, Durango	57455.76481745619	1378.9383556189487
288	Durango	GómezPalacio	GómezPalacio, Durango	819577.471645682	19669.85931949637
289	Durango	GuadalupeVictoria	GuadalupeVictoria, Durango	131217.57452580243	3149.2217886192584
290	Durango	Guanaceví	Guanaceví, Durango	58355.34223458578	1400.5282136300589
291	Durango	Hidalgo	Hidalgo, Durango	25627.755208885254	615.066125013246
292	Durango	Indé	Indé, Durango	33045.02398119601	793.0805755487042
293	Durango	Lerdo	Lerdo, Durango	684860.5357077853	16436.652856986846
294	Durango	Mapimí	Mapimí, Durango	109848.024834957	2636.3525960389684
295	Durango	Mezquital	Mezquital, Durango	196723.6466786539	4721.367520287694
296	Durango	Nazas	Nazas, Durango	71361.87744995211	1712.6850587988506
297	Durango	NombredeDios	NombredeDios, Durango	106371.3190471966	2552.911657132718
298	Durango	NuevoIdeal	NuevoIdeal, Durango	114598.31978314115	2750.359674795388
299	Durango	Ocampo	Ocampo, Durango	56006.704779543885	1344.1609147090533
300	Durango	Otáez	Otáez, Durango	29796.85671137158	715.1245610729179
301	Durango	PánucodeCoronado	PánucodeCoronado, Durango	64774.30988565881	1554.5834372558113
302	Durango	PeñónBlanco	PeñónBlanco, Durango	63559.74248713763	1525.4338196913031
303	Durango	Poanas	Poanas, Durango	101675.24160747828	2440.2057985794786
304	Durango	PuebloNuevo	PuebloNuevo, Durango	199454.52437669813	4786.9085850407555
