	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	state	city	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)	absolute_percent_error_graced (percent error)
160	cortazar, guanajuato	264500000.0	15454.735	Guanajuato	Cortazar	292052.0693880794	7009.249665313905	54.64658782364171
161	cuerámaro, guanajuato			Guanajuato	Cuerámaro	98516.3694879428	2364.3928677106273	
162	doctormora, guanajuato			Guanajuato	DoctorMora	123035.26102682177	2952.8462646437224	
163	doloreshidalgocunadelaindep, guanajuato	377400000.0	22051.482	Guanajuato	DoloresHidalgoCunadelaIndep	629304.232042232	15103.301569013565	31.508904621405648
164	guanajuato, guanajuato	507200000.0	29635.696	Guanajuato	Guanajuato	468385.32081575267	11241.247699578063	62.06855509795328
165	huanímaro, guanajuato			Guanajuato	Huanímaro	89707.71254763157	2152.9851011431574	
166	irapuato, guanajuato	1703500000.0	99535.505	Guanajuato	Irapuato	1428015.1846867376	34272.36443248171	65.56769925215961
167	jaraldelprogreso, guanajuato	106690000.0	6233.8967	Guanajuato	JaraldelProgreso	125485.31904733124	3011.64765713595	51.689163262266604
168	jerécuaro, guanajuato	138010000.0	8063.924300000001	Guanajuato	Jerécuaro	295110.4581672147	7082.650996013153	12.168681990068372
169	león, guanajuato	4767000000.0	278535.81	Guanajuato	León	3322644.91829955	79743.4780391892	71.3704754734448
170	manueldoblado, guanajuato	104520000.0	6107.1036	Guanajuato	ManuelDoblado	182745.35865874146	4385.888607809795	28.183818466583823
171	moroleón, guanajuato	177700000.0	10383.011	Guanajuato	Moroleón	74881.69860978353	1797.1607666348048	82.69133330750778
172	ocampo, guanajuato			Guanajuato	Ocampo	102355.72602628134	2456.537424630752	
173	pénjamo, guanajuato	416300000.0	24324.409	Guanajuato	Pénjamo	690530.2031900798	16572.724876561915	31.867923793906293
174	pueblonuevo, guanajuato			Guanajuato	PuebloNuevo	56484.831752429505	1355.635962058308	
175	purísimadelrincón, guanajuato	179670000.0	10498.1181	Guanajuato	PurísimadelRincón	258512.91300214705	6204.309912051529	40.90074189533523
176	romita, guanajuato	144160000.0	8423.2688	Guanajuato	Romita	264903.95672654494	6357.694961437078	24.522235816134966
177	salamanca, guanajuato	804000000.0	46977.72	Guanajuato	Salamanca	776668.049924311	18640.03319818346	60.3215456216618
